,Log_Returns,Macro,Predicted_Return,Residual
2010-02-28,0.03071843329897172,3.61,0.007809819231089421,0.022908614067882298
2010-03-31,0.05909867152199677,3.84,0.007322208204932967,0.0517764633170638
2010-04-30,0.015351549974037836,3.69,0.007640215395904567,0.007711334578133269
2010-05-31,-0.08278908201304608,3.31,0.008445833613032621,-0.0912349156260787
2010-06-30,-0.0531272496636067,2.97,0.009166649912568249,-0.06229389957617495
2010-07-31,0.0660690400195148,2.94,0.00923025135076257,0.056838788668752235
2010-08-31,-0.04602353746351309,2.47,0.010226673882473584,-0.05625021134598668
2010-09-30,0.08576905355145097,2.53,0.010099471006084946,0.07566958254536602
2010-10-31,0.037490578667079485,2.63,0.009887466212103877,0.02760311245497561
2010-11-30,0.0,2.81,0.009505857582937958,-0.009505857582937958
2010-12-31,0.06471246780021146,3.3,0.008467034092430728,0.056245433707780734
2011-01-31,0.023032793471944053,3.42,0.008212628339653447,0.014820165132290605
2011-02-28,0.034147590471907165,3.42,0.008212628339653447,0.025934962132253717
2011-03-31,0.00012026845572122823,3.47,0.008106625942662914,-0.007986357486941686
2011-04-30,0.028549615680120405,3.32,0.008424633133634516,0.02012498254648589
2011-05-31,-0.011277622673407211,3.05,0.008997046077383396,-0.020274668750790606
2011-06-30,-0.01701355785431198,3.18,0.008721439845208009,-0.02573499769951999
2011-07-31,-0.02020753719764405,2.82,0.00948465710353985,-0.029692194301183902
2011-08-31,-0.05654470197784199,2.23,0.010735485388028146,-0.06728018736587013
2011-09-30,-0.07194817153558213,1.92,0.011392700249369454,-0.08334087178495159
2011-10-31,0.10359153509595272,2.17,0.010862688264416786,0.09272884683153593
2011-11-30,-0.004072030974847874,2.08,0.011053492578999746,-0.015125523553847619
2011-12-31,0.010394163593125626,1.89,0.011456301687563774,-0.0010621380944381472
2012-01-31,0.045331557238898035,1.83,0.011583504563952414,0.03374805267494562
2012-02-29,0.04248967637606401,1.98,0.011265497372980812,0.031224179003083198
2012-03-31,0.03165720340479896,2.23,0.010735485388028146,0.020921718016770813
2012-04-30,-0.006697699738298422,1.95,0.011329098811175133,-0.018026798549473554
2012-05-31,-0.06193492001229914,1.59,0.012092316069506975,-0.07402723608180611
2012-06-30,0.03977939151074982,1.67,0.011922712234322121,0.027856679276427702
2012-07-31,0.011760357821230933,1.51,0.012261919904691828,-0.000501562083460895
2012-08-31,0.024743833009557785,1.57,0.012134717028303188,0.012609115981254597
2012-09-30,0.025034515735446343,1.65,0.011965113193118335,0.013069402542328008
2012-10-31,-0.018365639689054927,1.72,0.011816709837331588,-0.030182349526386515
2012-11-30,0.005644027941484794,1.62,0.012028714631312654,-0.00638468668982786
2012-12-31,0.00889427678872977,1.78,0.011689506960942947,-0.002795230172213177
2013-01-31,0.04992290617235275,2.02,0.011180695455388388,0.03874221071696436
2013-02-28,0.012678445065575151,1.89,0.011456301687563774,0.0012221433780113776
2013-03-31,0.037268300150066276,1.87,0.011498702646359986,0.02576959750370629
2013-04-30,0.019030059243342255,1.7,0.011859110796127802,0.007170948447214453
2013-05-31,0.023334912255226048,2.16,0.010883888743814893,0.012451023511411155
2013-06-30,-0.013434112091105375,2.52,0.01012067148548305,-0.023554783576588426
2013-07-31,0.05038595527466227,2.6,0.009951067650298198,0.04043488762436407
2013-08-31,-0.03045141158085502,2.78,0.009569459021132279,-0.0400208706019873
2013-09-30,0.03115594385545002,2.64,0.00986626573270577,0.021289678122744248
2013-10-31,0.045266997948991,2.57,0.01001466908849252,0.03525232886049848
2013-11-30,0.029206879897977222,2.75,0.009633060459326596,0.019573819438650625
2013-12-31,0.025596076504528983,3.04,0.009018246556781503,0.01657782994774748
2014-01-31,-0.03588452243168404,2.67,0.00980266429451145,-0.04568718672619549
2014-02-28,0.044509972872160526,2.66,0.009823864773909556,0.03468610809825097
2014-03-31,0.008261264857505744,2.73,0.00967546141812281,-0.0014141965606170662
2014-04-30,0.006927773095062447,2.67,0.00980266429451145,-0.0028748911994490034
2014-05-31,0.022941313589926477,2.48,0.010205473403075479,0.012735840186850998
2014-06-30,0.020434445723932573,2.53,0.010099471006084946,0.010334974717847627
2014-07-31,-0.013528412668208173,2.58,0.009993468609094412,-0.023521881277302585
2014-08-31,0.038704908564398906,2.35,0.010481079635250865,0.028223828929148043
2014-09-30,-0.013892848402711353,2.52,0.01012067148548305,-0.024013519888194404
2014-10-31,0.023278232294298012,2.35,0.010481079635250865,0.012797152659047148
2014-11-30,0.02710133348711673,2.18,0.010841487785018679,0.016259845702098052
