,Log_Returns,Macro,Predicted_Return,Residual
2010-02-28,0.03071843329897172,217.281,0.012255624488868022,0.018462808810103697
2010-03-31,0.05909867152199677,217.353,0.01225172885242457,0.0468469426695722
2010-04-30,0.015351549974037836,217.403,0.012249023549338841,0.0031025264246989943
2010-05-31,-0.08278908201304608,217.29,0.012255137534312592,-0.09504421954735867
2010-06-30,-0.0531272496636067,217.199,0.012260061185928619,-0.06538731084953532
2010-07-31,0.0660690400195148,217.605,0.01223809412487249,0.05383094589464231
2010-08-31,-0.04602353746351309,217.923,0.012220888397247245,-0.05824442586076034
2010-09-30,0.08576905355145097,218.275,0.012201843063523702,0.07356721048792726
2010-10-31,0.037490578667079485,219.035,0.012160722456620603,0.025329856210458884
2010-11-30,0.0,219.59,0.012130693592368996,-0.012130693592368996
2010-12-31,0.06471246780021146,220.472,0.012082972045936712,0.05262949575427475
2011-01-31,0.023032793471944053,221.187,0.012044286211810768,0.010988507260133284
2011-02-28,0.034147590471907165,221.898,0.012005816801931683,0.02214177366997548
2011-03-31,0.00012026845572122823,223.046,0.011943703043083315,-0.011823434587362087
2011-04-30,0.028549615680120405,224.093,0.011887053996468121,0.016662561683652283
2011-05-31,-0.011277622673407211,224.806,0.011848476374465606,-0.023126099047872817
2011-06-30,-0.01701355785431198,224.806,0.011848476374465606,-0.02886203422877759
2011-07-31,-0.02020753719764405,225.395,0.011816607904115702,-0.03202414510175976
2011-08-31,-0.05654470197784199,226.106,0.011778138494236617,-0.06832284047207861
2011-09-30,-0.07194817153558213,226.597,0.011751572417934746,-0.08369974395351687
2011-10-31,0.10359153509595272,226.75,0.011743294190492411,0.0918482409054603
2011-11-30,-0.004072030974847874,227.169,0.01172062375063399,-0.015792654725481865
2011-12-31,0.010394163593125626,227.223,0.0117177020233014,-0.0013235384301757743
2012-01-31,0.045331557238898035,227.842,0.011684210371100059,0.033647346867797974
2012-02-29,0.04248967637606401,228.329,0.011657860719045047,0.030831815657018966
