,Log_Returns,Macro,Predicted_Return,Residual
2010-04-30,0.015351549974037836,14980.193,0.02164562918145172,-0.006294079207413886
2010-07-31,0.0660690400195148,15141.607,0.021609141919519053,0.044459898099995745
2010-10-31,0.037490578667079485,15309.474,0.021571195971838854,0.01591938269524063
2011-01-31,0.023032793471944053,15351.448,0.021561707846073044,0.0014710856258710082
2011-04-30,0.028549615680120405,15557.539,0.02151512145146684,0.007034494228653564
2011-07-31,-0.02020753719764405,15647.68,0.02149474528658726,-0.041702282484231315
2011-10-31,0.10359153509595272,15842.259,0.021450761152995396,0.08214077394295732
2012-01-31,0.045331557238898035,16068.805,0.021399550952877693,0.02393200628602034
2012-04-30,-0.006697699738298422,16207.115,0.021368286296788955,-0.02806598603508738
2012-07-31,0.011760357821230933,16319.541,0.021342872659124053,-0.00958251483789312
2012-10-31,-0.018365639689054927,16420.419,0.021320069420190355,-0.03968570910924528
2013-01-31,0.04992290617235275,16648.189,0.02126858253769934,0.028654323634653412
2013-04-30,0.019030059243342255,16728.687,0.021250386150700344,-0.0022203269073580896
2013-07-31,0.05038595527466227,16953.838,0.021199491287111048,0.02918646398755122
2013-10-31,0.045266997948991,17192.019,0.02114565102211306,0.02412134692687794
2014-01-31,-0.03588452243168404,17197.738,0.021144358255370442,-0.05702888068705448
2014-04-30,0.006927773095062447,17518.508,0.021071848937652383,-0.014144075842589936
2014-07-31,-0.013528412668208173,17804.228,0.021007262591490324,-0.0345356752596985
2014-10-31,0.023278232294298012,17912.079,0.02098288312200998,0.002295349172288033
2015-01-31,-0.030076868972748628,18063.529,0.02094864819926658,-0.05102551717201521
2015-04-30,0.00978591224739072,18279.784,0.02089976425593298,-0.011113852008542261
2015-07-31,0.02233799760235217,18401.626,0.020872222153213264,0.0014657754491389056
2015-10-31,0.08163456791665424,18435.137,0.020864647069053117,0.060769920847601126
2016-01-31,-0.05106872142872111,18525.933,0.020844122842936186,-0.0719128442716573
2016-04-30,0.003933365482550004,18711.702,0.020802130189498624,-0.01686876470694862
2016-07-31,0.035821979652177205,18892.639,0.020761229798502107,0.015060749853675098
2016-10-31,-0.017488965598841683,19089.379,0.02071675717585083,-0.038205722774692516
2017-01-31,0.01773655626074016,19280.084,0.0206736487510124,-0.0029370924902722417
2017-04-30,0.009877025042120685,19438.643,0.020637806855236432,-0.010760781813115747
2017-07-31,0.020345842191235364,19692.595,0.02058040159210978,-0.00023455940087441576
2017-10-31,0.023290591341503537,20037.088,0.0205025297450273,0.002788061596476238
2018-01-31,0.05482795320381848,20328.553,0.020436644754882667,0.034391308448935815
2018-04-30,0.005154941625325805,20580.912,0.02037959958572716,-0.015224657960401355
2018-07-31,0.03637649012042034,20798.73,0.020330362329853132,0.016046127790567206
2018-10-31,-0.07160816826779587,20917.867,0.020303431686136526,-0.09191159995393239
2019-01-31,0.07702183827280835,21111.6,0.02025963878889092,0.05676219948391743
2019-04-30,0.04004009081685659,21397.938,0.02019491274525606,0.01984517807160053
2019-07-31,0.015006203075623779,21717.171,0.020122750862838476,-0.005116547787214697
2019-10-31,0.02186375585533068,21933.217,0.020073914163472213,0.0017898416918584667
2020-01-31,-0.00040409198473593096,21727.657,0.020120380526754703,-0.020524472511490633
2020-04-30,0.11954462178744146,19935.444,0.020525506136492008,0.09901911565094945
2020-07-31,0.0572234131921625,21684.551,0.020130124538506284,0.037093288653656215
2020-10-31,-0.025249600471817072,22068.767,0.02004327339900957,-0.045292873870826644
2021-01-31,-0.010242688997085511,22656.793,0.019910351479688934,-0.030153040476774445
2021-04-30,0.05155807915110317,23368.861,0.019749390152729238,0.031808688998373934
2021-07-31,0.02411919454083652,23921.991,0.01962435639362025,0.004494838147216271
2021-10-31,0.06781152018535933,24777.038,0.01943107499390434,0.048380445191454985
2022-01-31,-0.05418293741432855,25215.491,0.019331963705811823,-0.07351490112014038
2022-04-30,-0.09186220104445664,25805.791,0.019198527754042738,-0.11106072879849938
2022-07-31,0.08809097737433619,26272.011,0.019093139799724962,0.06899783757461123
2022-10-31,0.07814129136926858,26734.277,0.01898864563797587,0.05915264573129271
2023-01-31,0.06098888278832892,27164.359,0.018891426595101478,0.04209745619322744
2023-04-30,0.015848727752841033,27453.815,0.018825995734767287,-0.0029772679819262543
2023-07-31,0.03220911271346324,27967.697,0.018709833895419498,0.01349927881804374
2023-10-31,-0.021947724150478246,28296.967,0.018635403172331224,-0.04058312732280947
